mfcc,contrast,tonnetz,chroma,centroid,pitch,energy,rhythm,class
"[-5.28472412e+02  1.04965195e+02  1.11880484e+01  2.71355591e+01
  5.00577211e+00  9.46292973e+00 -1.18162985e+01  1.37246847e+01
  8.62194300e-01 -3.95965099e+00 -1.10713434e+01 -1.83201349e+00
  3.75537848e+00 -1.03241234e+01  4.31197739e+00  6.27749872e+00
 -2.55664206e+00  1.75670695e+00  3.33394480e+00 -4.07363129e+00
 -4.49118996e+00 -9.43808675e-01  1.03300071e+00 -2.37859917e+00
  4.01561880e+00 -2.71072149e+00 -2.88840145e-01  5.44449234e+00
 -2.64480019e+00  2.91147828e-01 -4.77199331e-02 -2.84011936e+00
  1.18916206e-01 -1.35839176e+00 -2.60442114e+00 -1.19874334e+00
 -4.45259523e+00 -2.94801044e+00 -4.83448839e+00 -1.85926294e+00]","[22.91444328 14.61946174 17.30364321 17.65980548 20.53864832 19.60033596
 39.71363928]",[ 0.02045616  0.00966262 -0.00633582  0.00540876 -0.00133032  0.00196309],"[0.61069936 0.648785   0.6826603  0.6615522  0.5487973  0.45233512
 0.46097225 0.5181225  0.53760976 0.59760505 0.60759926 0.62724566]",[1144.22837088],793.2873,0.014791514,151.99908088235293,open
"[-5.2117920e+02  1.0335821e+02  1.4863030e+01  2.9266697e+01
  5.3309393e+00  5.9280391e+00 -8.4077787e+00  1.2225274e+01
  1.1978734e+00 -5.9684806e+00 -1.0916831e+01 -3.1861458e+00
  4.6894379e+00 -9.4566107e+00  4.4306588e+00  5.4125905e+00
 -1.9216677e+00  1.3860712e+00  1.9013951e+00 -4.0906715e+00
 -5.4363260e+00  1.8240064e+00  8.8112170e-01 -3.1400969e+00
  2.4955189e+00 -2.2102852e+00  1.7135826e-01  3.5531716e+00
 -3.5904634e+00  1.8202256e+00  1.0557165e+00 -2.0483441e+00
  1.4022134e-01 -3.1684563e+00 -2.1452868e+00 -1.2573028e+00
 -3.6965432e+00 -2.3942676e+00 -3.4827027e+00 -6.5357202e-01]","[22.55655774 14.39558539 17.28834613 18.19512026 18.98475957 20.30399469
 39.35792549]",[-0.01894062 -0.00892402  0.02584233 -0.01298199  0.00273452 -0.0029351 ],"[0.60792774 0.614663   0.65771013 0.6589171  0.5578707  0.48661527
 0.48102477 0.46756577 0.52470434 0.6285624  0.63874495 0.6129933 ]",[1128.6016167],857.034,0.013510402,161.4990234375,open
"[-321.3478      105.99414     -10.470941     30.542969     -6.56855
   -2.7044013     2.6701849    -3.228253    -11.389849      2.108206
   -9.416017     -8.374456     -4.459901     -8.636589     -1.3053185
   -8.050197     -3.7694626    -1.0309317    -7.829362     -7.0265346
   -9.148387     -7.4422393    -4.395043    -10.615401     -0.47909954
   -5.7002053    -6.1927257    -2.8446043    -6.1459656    -3.1000173
   -5.3100495    -0.98188543   -5.3719597    -2.9171314    -2.2567976
   -6.5644255    -4.326188     -3.9442718    -4.577797     -4.5123477 ]","[26.20530653 14.78608735 17.44968654 17.78833672 17.66091278 22.31385634
 39.06568051]",[ 0.01625096 -0.01178141 -0.03209461 -0.05163178  0.02198645  0.01577742],"[0.4766667  0.4614479  0.4365455  0.4189053  0.48220488 0.55033433
 0.5765483  0.6118316  0.6759302  0.7135178  0.6510742  0.51726204]",[1451.57722062],1163.6202,0.09756994,107.666015625,open
"[-348.48102     98.461136    -7.675438    26.625006    -3.8163252
   -1.7937887    3.2683258   -7.3698463  -14.849989    -2.258737
  -11.064617    -8.796015    -5.4677777   -7.4482884    1.2045935
   -8.139801    -3.33888     -1.3164918   -6.122491    -5.657828
  -11.604127    -6.0260396   -2.6085732  -12.626736    -3.7134998
   -4.365679    -7.7969313   -1.132901    -4.188842    -2.7131333
   -2.6351225   -1.5294589   -2.7609107   -3.7258043   -3.182851
   -5.153386    -4.251907    -3.5382764   -3.4415996   -4.4143567]","[25.88054494 14.37886077 17.35632039 17.95559338 17.82082607 22.04531009
 39.7016665 ]",[-0.02005564  0.01451344 -0.06274078  0.03244934 -0.00366456  0.00080891],"[0.47501713 0.4378259  0.4046701  0.45227426 0.49642634 0.52454495
 0.5514351  0.62093586 0.7393477  0.7238996  0.6109795  0.46819523]",[1708.47382394],1190.5608,0.07487859,143.5546875,open
"[-3.57867950e+02  1.04781425e+02 -4.13109207e+00  2.30662117e+01
 -3.93394709e+00  1.77346528e-01  6.51505566e+00 -5.95638371e+00
 -1.09985609e+01 -2.00308871e+00 -8.67280388e+00 -8.90396309e+00
 -6.42418623e+00 -6.69775295e+00  1.10467494e+00 -5.53067923e+00
 -5.59464312e+00 -2.37098002e+00 -7.36943197e+00 -8.56541538e+00
 -1.01583786e+01 -7.17348337e+00 -3.77660871e+00 -1.05321007e+01
 -4.81538057e+00 -4.05267286e+00 -6.80616093e+00 -2.86933589e+00
 -4.82732916e+00 -4.37880325e+00 -4.80836964e+00 -3.38845062e+00
 -3.65450144e+00 -3.73742247e+00 -3.02148628e+00 -5.69719362e+00
 -5.88405561e+00 -4.31534529e+00 -4.62944317e+00 -4.49372625e+00]","[26.07500564 14.80314853 16.43742125 16.84760335 17.47935057 20.78272724
 38.8785107 ]",[ 0.00105732 -0.0286643   0.03399905  0.01954097  0.00824678  0.00412022],"[0.49631348 0.49182597 0.47902113 0.4923595  0.5126585  0.51449096
 0.5863314  0.66129476 0.7256092  0.7377621  0.7154309  0.6025186 ]",[1344.34410529],823.02594,0.07313036,143.5546875,open
"[-349.12015     99.194115    -2.9481149   29.226414    -6.1969824
    3.0946448    7.425424    -3.2618458  -10.92613     -1.2984343
   -5.007894   -10.98744     -7.4360437   -5.3500338   -4.6760597
   -6.3854666   -6.4844155   -4.6120048   -5.564809   -10.331035
   -8.66655     -8.709418    -4.831132    -8.07459     -6.593138
   -4.7232475   -5.4070597   -4.725436    -5.6823783   -3.9097931
   -5.0000205   -2.7703102   -5.1779733   -3.6442413   -3.246882
   -7.4848633   -6.0417013   -4.4448876   -6.409278    -3.8950653]","[26.62498816 15.15261559 15.74273441 17.26726148 18.03926805 21.20404239
 39.40501784]",[ 0.01550775 -0.0079613  -0.03802811  0.00969264  0.00140439  0.01586153],"[0.55779266 0.50890386 0.4697008  0.48996717 0.5193072  0.57419914
 0.6031085  0.620663   0.6878247  0.71279633 0.68200886 0.60342866]",[1504.99449545],942.4414,0.0691476,143.5546875,open
"[-3.5770221e+02  9.9981689e+01 -1.1048082e+00  2.8581625e+01
 -2.1959229e+00  2.0642548e+00  6.0530753e+00 -3.6465397e+00
 -9.4242115e+00  2.3986898e-01 -8.0039940e+00 -8.3343735e+00
 -9.3535013e+00 -7.3594708e+00 -3.4317994e+00 -9.3690290e+00
 -6.7096267e+00 -4.6183696e+00 -5.2919216e+00 -8.8637028e+00
 -9.5844984e+00 -7.5363746e+00 -4.8088889e+00 -9.0828981e+00
 -4.3446026e+00 -5.2011180e+00 -4.2773776e+00 -2.4079785e+00
 -5.5706420e+00 -2.2824283e+00 -4.2743192e+00 -4.6470013e+00
 -5.1960969e+00 -4.2675786e+00 -3.8093679e+00 -4.5398898e+00
 -6.1018162e+00 -3.8293402e+00 -4.7417269e+00 -4.7187915e+00]","[25.78877016 14.92019139 16.40786812 17.29555354 18.62496363 20.21004131
 39.68275909]",[-0.00355494 -0.03821719  0.03363682  0.0477631  -0.00316228 -0.0011217 ],"[0.5395888  0.54794836 0.52582157 0.52158517 0.54510367 0.57075596
 0.63779604 0.67725015 0.7409727  0.7354124  0.6902326  0.5940083 ]",[1248.93861396],716.483,0.074457064,135.99917763157896,open
"[-331.84796     106.11282      -5.1421156    29.626278     -3.117323
   -1.8578801     2.9734328    -0.78642434  -12.052488     -0.9036954
   -8.353122    -11.893532     -4.9004536    -8.271961     -1.6276997
   -7.433747     -9.955573     -1.5621158    -6.693393     -9.151839
   -9.388129     -7.785632     -2.7947974   -10.525812     -3.3359547
   -4.7084236    -5.3449674    -3.4964588    -5.7454815    -3.071526
   -4.1373253    -3.0852926    -5.100564     -2.4101524    -4.850639
   -4.6111093    -5.9769864    -4.2529106    -2.4710348    -4.5850997 ]","[25.10356418 14.96594239 16.50386862 17.31798361 17.94331406 21.01665872
 39.32088075]",[ 0.05418804 -0.02858519  0.0318905  -0.03350445  0.01750705  0.02164318],"[0.513097   0.473534   0.46558005 0.46615976 0.49080223 0.5067663
 0.591909   0.65999085 0.6714233  0.7178208  0.71659654 0.6411871 ]",[1317.59909241],775.36304,0.091841035,143.5546875,open
"[-332.72348    104.09252     -4.5586476   32.32841     -6.319412
    2.030864     4.3296285   -4.2008853  -14.0135145    2.0006285
   -7.1087584  -11.566052    -5.500952    -9.7456875   -2.1949296
   -8.616431    -9.128693    -3.6384869   -7.6533      -8.176817
   -7.935203    -7.3122163   -2.4957986   -9.366805    -4.4931245
   -4.8172174   -5.8642244   -2.3574693   -6.887779    -2.7763994
   -3.644433    -4.8421926   -4.394366    -3.8684855   -3.2139757
   -5.9788747   -5.917659    -1.892868    -4.423637    -4.532132 ]","[26.74636549 14.84426047 16.2333591  17.39752164 18.38427993 20.83626465
 39.23819821]",[ 0.02503129  0.02489299  0.03040664 -0.05044472  0.03941745 -0.0035126 ],"[0.48603523 0.46579707 0.5027976  0.47145632 0.48605496 0.56359214
 0.5998816  0.64870346 0.6694048  0.6875535  0.7187484  0.6123108 ]",[1463.42495527],992.4541,0.09016242,112.34714673913044,open
"[-332.23343    110.666985   -13.277049    34.4308      -1.5739962
    2.6541007    1.8892795   -5.8831     -11.02108      3.5010378
  -11.007344   -14.559965    -6.3572345   -6.3372383   -2.7608132
  -10.482105    -6.855102    -2.5530474   -9.156083    -9.831537
   -9.1285305   -9.188289    -1.8100005   -9.780867    -5.1447787
   -4.5660415   -6.3664002   -2.8056293   -6.5125184   -2.8784664
   -3.1765752   -4.2038074   -5.5765805   -2.7597587   -2.6644375
   -5.756813    -5.322167    -3.2444003   -4.097295    -3.9148655]","[27.42975495 14.58272316 16.38053461 16.91109044 19.17426747 21.27304735
 38.36198888]",[ 0.00070882 -0.058472   -0.04886595 -0.03303224 -0.00020913  0.02209976],"[0.4344704  0.4208908  0.40087432 0.3760547  0.4293501  0.4701837
 0.5358008  0.54467034 0.5868319  0.6912598  0.7254737  0.57835376]",[1301.70757497],920.3047,0.086325675,112.34714673913044,open
"[-351.70496    101.957954   -14.603245    28.982737    -2.6129277
    6.1024356    2.6376872   -1.6453091  -12.68268     -2.7466815
  -13.360608    -7.268996    -7.6082287   -7.571555     2.1034284
   -7.777732    -5.029477    -1.5276601   -5.584742   -10.666566
   -9.8717985   -9.171989    -2.5041716   -8.602931    -5.661078
   -4.6915984   -5.16312     -2.97188     -4.8039083   -2.1599205
   -5.0715976   -2.9560304   -3.8760066   -2.7292464   -1.9208479
   -4.129048    -4.3857503   -2.5944085   -3.2919285   -3.264664 ]","[25.29897328 14.40313632 16.92885204 17.35375876 17.02790613 20.28240299
 38.72684007]",[-0.01832174 -0.05085408  0.04572924  0.00244516  0.013015    0.00666534],"[0.4098635  0.46635723 0.47191447 0.48783937 0.43530336 0.4756424
 0.5844938  0.6463183  0.6869702  0.66073275 0.56750757 0.4893949 ]",[1522.61412088],1022.30994,0.085676074,107.666015625,open
"[-3.6414520e+02  9.3976967e+01 -4.3122845e+00  2.5857046e+01
 -6.0585504e+00 -1.3684376e+00  3.0442283e-01 -4.7154131e+00
 -9.0069065e+00  1.4340229e+00 -8.4965363e+00 -8.2084894e+00
 -3.7346387e+00 -8.6488495e+00  1.0773988e+00 -2.9939981e+00
 -5.7490993e+00 -1.4792337e+00 -8.0051870e+00 -1.1157419e+01
 -7.5665369e+00 -7.1539450e+00 -4.2412243e+00 -7.2977514e+00
 -2.5837312e+00 -4.9527106e+00 -5.4453678e+00 -2.7821298e+00
 -5.2899799e+00  6.6700983e-01 -3.3517506e+00 -4.0716219e+00
 -1.7882066e+00 -4.7902961e+00 -2.9175994e+00 -1.7199317e+00
 -5.1785841e+00 -1.7788570e+00 -3.2276304e+00 -4.7172713e+00]","[25.03201685 14.17313742 17.09468391 18.82242283 17.16584301 21.41675883
 38.97604376]",[ 0.00056853  0.02061983  0.12030842 -0.01614773  0.00348243 -0.0309525 ],"[0.41522148 0.43830737 0.42615628 0.37923065 0.42573905 0.50310487
 0.5391405  0.6028479  0.6384942  0.69027114 0.7282896  0.5631024 ]",[1548.94926414],893.56995,0.086355165,129.19921875,open
"[-5.11088715e+02  1.18228615e+02  2.32785816e+01  3.47676849e+01
  1.14531689e+01  6.84871387e+00 -1.87928162e+01  8.17985758e-02
 -7.20942020e+00  3.35991240e+00 -2.12028694e+00 -9.94793034e+00
  2.17810774e+00 -5.60707331e+00  1.37695685e-01  6.95184994e+00
 -3.10121346e+00 -1.65364957e+00  3.52955127e+00 -5.57519722e+00
 -3.71198797e+00 -3.84048891e+00  1.40948963e+00 -8.96079183e-01
 -3.07566237e+00  1.18207502e+00 -2.22595406e+00  4.15668070e-01
  2.94295335e+00  8.86029005e-01 -1.02623332e+00  3.61119993e-02
 -1.40386149e-01 -1.46269929e+00 -1.49822402e+00 -1.87195444e+00
 -1.09347701e+00 -8.74077678e-01 -1.80787313e+00 -1.92206562e+00]","[21.66768692 14.93683118 18.87422866 17.76153837 18.73092074 19.17238763
 40.02174385]",[-0.01759517  0.03262409 -0.04968293 -0.02401949  0.00925805  0.01020703],"[0.5816238  0.55010116 0.49538863 0.48061714 0.4888444  0.4768487
 0.491716   0.54816484 0.5633788  0.5981485  0.6146745  0.5680043 ]",[989.52944887],605.1669,0.015235004,151.99908088235293,open
"[-5.1405182e+02  1.1810260e+02  1.8793680e+01  3.2364559e+01
  1.1112458e+01  1.1080337e+01 -1.1877038e+01  1.7866195e+00
 -1.2252389e+01  9.6613016e+00  2.2805052e+00 -1.0822675e+01
  7.2545278e-01 -3.5740414e+00 -2.1531639e+00  4.6655631e-01
 -7.4499261e-01 -3.5337524e+00  6.1604562e+00 -5.3551483e+00
 -5.2430811e+00 -1.3303968e+00 -3.8393661e-01  2.0502489e+00
 -5.8434596e+00  9.6302167e-02 -8.5088497e-01 -1.2349393e+00
  1.3554944e+00 -1.6027322e+00  1.3561058e+00 -1.9804542e+00
 -2.7355063e+00 -1.6945288e+00 -1.6199951e+00 -1.8062325e+00
 -2.8824604e+00 -8.3594388e-01 -3.1343334e+00 -1.4911011e+00]","[23.13951226 14.66944631 18.77771863 17.87675732 18.51457293 20.30082797
 40.12215897]",[ 0.01615342 -0.01940822 -0.00976092  0.01560874 -0.00018326 -0.00496528],"[0.5025068  0.48192176 0.46001425 0.42272705 0.4444548  0.45823258
 0.47850674 0.47758275 0.5256933  0.55226445 0.50202966 0.51386887]",[926.76803193],609.5316,0.018694708,129.19921875,open
"[-5.2429309e+02  1.1879820e+02  2.2458780e+01  2.5614817e+01
  7.4151392e+00  1.2310202e+01 -7.6662779e+00 -2.6588922e+00
 -1.1104458e+01  6.8836460e+00  4.9070764e+00 -6.7653418e+00
 -4.5850638e-01 -4.2860332e+00  3.3199697e+00  4.0808330e+00
 -3.5550871e+00 -1.4488164e+00  3.7327826e+00 -5.8878946e+00
 -3.4214301e+00  7.1814835e-01  1.7231555e+00  3.3235850e+00
 -2.6503682e+00 -7.4093156e-02 -1.6677661e+00 -1.3259952e+00
  2.3702600e+00 -3.6969976e+00 -1.5045621e+00 -3.5004696e-01
 -1.1957062e+00  1.1255454e+00 -4.9947450e-01 -2.4310896e+00
 -2.2339861e+00  2.4586153e-01 -2.0985308e+00 -2.0389280e+00]","[22.24123484 14.77824389 19.46809863 17.42717239 19.34340869 20.74268631
 39.52523833]",[-0.03221519 -0.02763846  0.00749424  0.01099128  0.00965324 -0.0054731 ],"[0.44968665 0.43645504 0.46287537 0.5620829  0.50785804 0.48828605
 0.48776814 0.50830096 0.5142857  0.49519742 0.51047486 0.45256776]",[962.30567233],863.938,0.0146954935,123.046875,open
